order_id,menu_item_id
1,4
1,9
2,13
2,10
2,9
3,14
3,17
3,13
4,8
4,17
5,2
6,17
6,19
6,8
7,14
8,9
9,16
9,19
10,3
11,1
12,5
12,10
12,6
13,11
13,14
14,13
14,20
15,9
15,20
16,16
16,15
16,17
17,7
17,11
17,20
18,15
18,11
19,18
19,12
20,3
20,12
20,17
21,16
21,8
21,7
22,7
22,18
22,15
23,18
24,16
24,11
25,13
25,20
25,4
26,14
26,1
27,18
27,11
27,6
28,4
28,14
28,20
29,2
30,11
30,4
31,6
31,3
31,11
32,9
33,3
34,14
35,11
35,10
35,16
36,5
37,16
37,17
38,19
38,1
39,17
40,18
41,15
41,4
41,7
42,17
43,6
43,13
43,4
44,1
45,19
45,12
46,18
46,7
46,2
47,13
48,5
48,10
49,7
49,17
49,9
50,4
51,1
51,7
52,17
52,10
52,19
53,2
53,6
54,8
54,2
54,6
55,13
55,10
55,20
56,1
57,5
57,7
58,14
58,7
59,17
60,20
60,14
60,1
61,7
61,8
61,5
62,4
62,13
63,14
63,1
63,15
64,18
64,14
65,4
65,3
66,17
66,19
66,5
67,12
67,14
68,9
69,9
69,6
70,9
71,10
71,20
72,10
72,6
73,16
73,5
74,1
74,12
74,4
75,5
75,19
76,2
77,14
77,3
77,20
78,18
78,13
79,1
80,3
81,5
81,4
81,16
82,16
82,10
82,12
83,15
83,2
83,16
84,7
84,16
85,5
86,20
86,6
87,3
87,17
88,9
88,19
88,14
89,6
89,8
90,10
91,11
92,11
92,16
93,7
93,19
94,20
94,10
95,17
95,19
96,19
96,13
96,20
97,10
97,12
97,17
98,19
99,3
99,5
99,12
100,3
100,17
101,10
101,7
101,16
102,7
102,15
102,14
103,7
103,10
104,10
104,15
105,2
105,14
105,7
106,7
106,8
107,9
107,14
108,8
108,9
109,2
109,1
109,11
110,12
110,2
110,3
111,6
111,2
111,16
112,1
112,14
112,20
113,16
113,6
114,16
114,5
114,13
115,12
115,13
116,20
116,1
117,7
117,1
118,4
119,1
120,19
120,2
121,14
121,19
121,5
122,7
122,19
122,3
123,3
124,9
125,4
125,18
126,6
126,10
126,3
127,8
127,19
127,10
128,19
129,17
129,1
130,6
131,17
131,4
131,12
132,15
133,1
133,2
134,5
134,8
134,15
135,20
135,4
135,9
136,19
136,20
136,17
137,5
137,16
137,8
138,15
138,7
138,13
139,13
139,6
139,14
140,1
140,7
140,16
141,1
142,13
142,9
143,7
143,1
144,3
145,12
146,10
146,2
147,15
148,8
148,19
148,2
149,9
149,6
149,1
150,1
150,14
151,13
152,20
152,17
153,1
153,20
154,10
154,1
155,4
155,12
155,16
156,10
156,17
156,12
157,5
157,2
157,14
158,16
158,9
159,14
159,20
159,3
160,20
161,13
161,18
162,15
162,10
162,13
163,6
163,15
163,7
164,3
164,10
164,16
165,2
165,17
165,14
166,2
167,6
168,5
168,19
168,6
169,16
169,3
170,13
171,12
172,11
173,13
174,18
174,6
174,9
175,2
176,14
177,5
177,3
178,7
179,3
179,14
180,19
180,6
181,12
182,3
182,12
183,19
183,3
184,19
184,9
184,18
185,4
186,11
186,15
186,10
187,18
187,20
188,20
188,15
188,6
189,5
189,18
190,3
190,12
190,4
191,18
191,11
191,4
192,10
192,18
192,19
193,19
194,18
194,17
195,8
196,3
196,6
197,8
198,12
198,17
199,17
199,13
200,15
200,18
201,20
201,1
201,3
202,19
202,15
202,17
203,18
204,11
205,18
206,11
206,16
207,19
208,7
208,11
209,5
210,15
210,5
211,17
211,16
212,11
213,4
214,1
214,4
215,19
215,20
216,8
217,16
217,11
217,12
218,11
219,4
220,4
220,10
221,18
221,7
222,5
222,17
223,1
224,1
225,13
225,19
226,15
227,6
227,17
227,14
228,8
229,8
229,12
230,19
230,17
230,5
231,14
232,14
233,12
233,1
233,17
234,19
234,20
235,8
236,13
237,12
237,2
238,7
239,2
239,10
240,15
240,11
240,17
241,8
242,5
242,11
243,17
243,10
244,4
244,17
244,18
245,8
246,7
247,5
248,19
248,9
249,9
249,1
249,15
250,7
250,17
250,11
251,10
251,20
251,9
252,13
252,1
252,20
253,5
253,11
254,14
254,16
255,17
255,7
255,2
256,2
257,17
258,8
258,2
258,6
259,6
259,10
259,16
260,14
260,20
260,5
261,8
261,17
261,2
262,13
263,19
263,17
264,6
264,2
265,11
266,19
266,14
267,1
268,18
269,4
269,2
270,6
270,11
271,4
272,18
272,9
272,20
273,8
273,6
273,2
274,18
275,5
275,1
276,7
276,1
277,9
278,12
278,13
279,8
280,14
280,6
280,17
281,1
282,14
282,11
282,9
283,5
283,19
283,9
284,19
284,7
285,5
285,16
285,19
286,9
286,12
286,15
287,11
287,17
287,4
288,10
289,12
290,10
291,4
292,9
292,14
293,1
294,15
295,19
295,1
296,10
296,14
296,2
297,10
297,2
298,9
298,4
299,16
299,9
299,6
300,18
301,7
301,10
302,1
303,5
303,4
304,2
304,8
304,20
305,12
306,15
307,3
307,20
308,3
308,10
308,15
309,5
309,3
309,9
310,15
311,8
312,2
312,10
313,19
314,14
314,11
314,12
315,20
315,19
315,14
316,5
316,13
316,8
317,2
317,20
318,13
318,10
318,14
319,15
319,10
319,17
320,11
321,1
321,14
322,14
322,5
323,4
323,8
324,19
325,20
326,5
327,15
328,2
328,16
328,11
329,8
329,5
329,20
330,5
330,18
331,10
332,5
332,19
333,12
333,8
334,14
334,18
334,8
335,12
335,5
335,17
336,13
336,17
336,9
337,5
337,16
338,2
338,16
339,4
339,3
339,12
340,12
340,17
341,13
341,7
341,12
342,11
343,1
343,20
343,2
344,15
344,2
344,20
345,20
346,17
347,13
347,14
348,15
349,5
349,3
350,8
350,17
350,3
351,3
351,19
352,2
352,15
353,19
354,19
354,1
355,17
355,19
355,2
356,4
357,16
358,11
358,16
359,1
359,13
360,12
360,3
360,11
361,2
362,3
362,1
363,18
363,4
363,8
364,4
365,15
365,11
365,7
366,13
366,9
367,14
367,19
367,9
368,7
369,2
369,13
370,20
370,6
371,20
371,5
371,18
372,8
372,20
373,1
373,10
374,3
374,17
374,8
375,11
375,4
376,15
376,10
377,20
377,7
378,11
378,8
379,4
379,9
380,12
380,14
381,1
381,3
381,17
382,15
383,16
383,5
384,13
385,12
386,4
386,12
387,3
387,11
387,17
388,6
388,2
389,12
390,8
391,2
392,13
392,3
393,6
393,16
393,2
394,15
394,9
395,12
395,10
396,9
397,3
397,9
397,15
398,19
398,2
398,12
399,2
399,7
399,1
400,13
400,14
401,16
401,10
402,10
403,17
403,10
403,12
404,7
405,9
405,19
406,7
406,2
407,13
407,9
408,10
408,13
408,8
409,13
410,16
411,8
412,15
412,1
413,14
413,4
413,11
414,13
414,9
415,17
416,12
416,20
416,2
417,19
418,3
418,12
418,19
419,18
419,11
419,20
420,12
420,18
420,5
421,10
421,13
422,4
422,19
423,19
424,11
425,13
425,15
425,16
426,12
426,3
426,1
427,12
428,16
428,19
429,7
429,16
430,20
430,19
430,3
431,14
432,15
432,9
433,3
433,14
434,17
434,8
435,19
435,14
436,12
436,13
436,4
437,12
438,4
438,17
439,17
439,20
439,1
440,7
440,9
440,6
441,6
441,4
442,4
443,15
443,18
443,8
444,6
445,11
445,2
445,20
446,20
446,19
446,13
447,16
447,8
447,12
448,4
448,14
449,13
449,14
449,11
450,9
450,14
451,12
451,9
452,14
452,11
452,16
453,18
454,15
455,7
455,13
456,7
456,19
457,7
458,4
459,19
459,18
460,10
461,10
462,19
462,10
463,2
464,9
464,11
465,13
465,5
465,11
466,4
467,1
468,10
468,12
469,19
469,6
469,11
470,13
471,7
471,9
472,18
473,11
474,20
475,8
475,3
476,9
476,3
476,8
477,16
478,14
479,18
480,2
480,3
481,8
482,10
482,16
482,6
483,10
484,14
484,8
485,5
485,17
486,10
487,2
488,4
488,19
489,3
490,17
490,10
491,12
491,7
491,11
492,20
492,10
493,18
493,5
493,8
494,5
494,11
495,7
496,2
496,3
496,1
497,8
498,15
499,6
499,7
499,16
500,8
500,18
500,5
501,2
501,1
501,12
502,20
502,9
503,13
503,11
504,10
505,3
506,12
506,16
507,4
507,8
507,9
508,14
508,20
508,18
509,13
509,14
510,9
510,10
510,3
511,10
511,17
512,4
512,20
512,19
513,17
513,15
514,1
514,18
515,3
515,18
515,16
516,14
516,4
517,19
517,6
517,2
518,9
519,16
519,8
520,18
521,1
521,15
521,16
522,6
522,9
523,14
523,8
523,7
524,9
524,12
524,18
525,6
526,9
526,12
527,6
528,9
528,19
529,14
529,5
530,12
531,20
532,11
532,17
533,11
534,8
535,6
535,8
535,5
536,17
537,10
538,14
538,5
539,10
539,4
539,16
540,10
541,18
541,10
541,11
542,8
542,7
543,9
543,2
544,6
545,9
545,17
545,6
546,2
546,17
546,14
547,8
548,19
548,8
549,18
549,2
550,20
550,15
550,10
551,12
552,8
552,11
552,14
553,19
554,13
555,3
555,15
555,6
556,13
556,10
557,3
557,18
557,14
558,15
559,1
559,10
559,2
560,11
561,17
562,14
562,4
562,15
563,9
563,4
563,5
564,12
565,2
566,8
566,17
566,6
567,8
568,13
568,14
568,3
569,17
569,1
570,14
571,7
572,8
572,16
573,9
574,20
574,3
575,20
575,17
576,2
577,17
577,18
578,17
578,1
579,16
579,7
580,14
580,17
580,16
581,1
582,6
582,10
583,8
583,6
583,5
584,11
585,8
585,7
585,9
586,5
586,3
586,16
587,3
587,10
587,2
588,12
588,17
588,16
589,3
590,7
591,17
591,15
592,17
592,4
592,3
593,13
593,17
594,3
594,10
594,8
595,1
595,12
596,15
596,12
596,6
597,4
598,16
599,6
599,7
600,14
601,20
601,11
602,13
603,16
604,7
604,14
605,20
605,19
605,1
606,17
607,1
607,3
608,13
609,18
609,3
609,15
610,4
611,10
611,4
612,18
613,10
613,1
614,15
614,2
615,14
615,13
616,9
616,11
617,17
617,4
617,7
618,15
618,5
618,17
619,8
619,17
619,5
620,14
621,2
621,1
621,12
622,2
622,5
623,12
623,13
623,7
624,16
624,6
624,1
625,5
626,11
627,7
627,4
628,8
628,9
629,8
629,14
630,5
631,16
632,10
632,3
632,20
633,20
633,11
634,8
635,11
636,14
637,18
638,7
638,17
638,12
639,5
639,15
639,4
640,14
640,20
640,8
641,8
641,11
642,12
642,4
642,1
643,14
643,2
644,3
644,11
644,5
645,14
