id,customer_id,complete_time,order_total_price,pearls_earned,employee_id
1,1573,2025-08-08 18:27:15,7.75,3,38
2,704,2025-09-07 03:27:54,15.0,7,18
3,197,2025-08-14 13:16:58,14.75,7,32
4,132,2025-02-28 01:32:11,8.5,4,15
5,1631,2025-03-29 16:38:36,4.75,2,38
6,62,2024-12-19 04:18:37,14.5,7,14
7,928,2025-06-24 10:40:40,4.5,2,9
8,1955,2024-11-08 23:04:04,3.5,1,43
9,972,2024-10-31 05:07:20,10.0,5,24
10,1834,2025-08-25 05:37:43,4.5,2,18
11,515,2025-09-16 12:23:59,3.5,1,16
12,195,2025-06-12 14:50:50,14.0,7,9
13,725,2025-06-08 11:18:59,8.0,4,1
14,1897,2025-04-08 10:11:53,9.0,4,14
15,798,2024-10-09 23:02:08,7.0,3,45
16,725,2024-10-26 09:14:14,13.0,6,4
17,1714,2024-11-04 06:26:01,13.5,6,30
18,515,2025-09-01 04:08:19,7.75,3,39
19,988,2025-03-07 19:48:03,8.25,4,19
20,1397,2025-01-17 00:28:20,13.0,6,33
21,1058,2025-03-17 08:17:13,14.25,7,14
22,856,2025-04-03 11:46:13,15.25,7,18
23,86,2025-10-01 00:26:44,4.5,2,5
24,1644,2025-08-11 14:48:36,7.5,3,29
25,227,2025-02-11 02:45:35,13.25,6,15
26,1982,2024-10-31 21:46:40,8.0,4,18
27,646,2025-02-24 19:29:53,12.0,6,5
28,1301,2025-06-06 06:28:54,12.25,6,41
29,722,2025-06-11 00:41:13,4.75,2,38
30,88,2025-03-27 22:01:34,7.75,3,47
31,415,2024-12-22 14:46:42,12.0,6,12
32,1256,2025-06-18 17:55:10,3.5,1,19
33,1037,2025-01-03 05:26:20,4.5,2,49
34,20,2024-11-27 22:44:08,4.5,2,23
35,443,2025-02-12 01:30:54,13.5,6,42
36,1354,2025-04-08 21:38:54,4.0,2,21
37,1689,2025-06-27 21:53:38,8.75,4,26
38,364,2024-10-07 14:47:22,9.5,4,25
39,544,2025-08-23 12:32:05,4.75,2,17
40,1487,2025-06-12 00:33:44,4.5,2,41
41,1674,2024-12-03 02:37:12,15.0,7,11
42,1988,2025-08-02 07:31:15,4.75,2,22
43,393,2025-03-21 19:46:38,13.75,6,42
44,933,2024-11-08 10:09:00,3.5,1,17
45,23,2025-06-21 01:11:00,9.75,4,29
46,85,2025-03-16 12:22:45,15.75,7,26
47,641,2025-03-26 23:58:34,5.5,2,23
48,990,2024-11-06 05:37:24,10.0,5,37
49,1826,2025-01-23 14:46:22,14.75,7,6
50,1691,2025-06-07 14:18:05,4.25,2,40
51,1860,2025-02-13 19:34:52,10.0,5,8
52,1697,2025-07-02 20:11:34,16.75,8,10
53,1029,2025-03-16 21:07:24,8.75,4,3
54,436,2025-05-07 08:40:41,12.5,6,17
55,1138,2024-10-25 02:56:42,15.0,7,30
56,50,2025-08-11 18:59:02,3.5,1,38
57,852,2025-03-18 04:36:19,10.5,5,9
58,772,2024-11-19 15:32:45,11.0,5,34
59,1540,2024-12-31 06:42:15,4.75,2,4
60,823,2025-02-08 03:43:24,11.5,5,8
61,254,2025-07-13 16:22:29,14.25,7,16
62,241,2024-11-23 06:25:09,9.75,4,26
63,1688,2025-09-02 18:22:48,12.25,6,38
64,806,2025-03-29 15:35:34,9.0,4,16
65,841,2025-06-15 20:56:31,8.75,4,13
66,1239,2024-12-01 16:57:18,14.75,7,47
67,1218,2025-04-04 14:06:22,8.25,4,30
68,1229,2024-10-08 07:31:55,3.5,1,15
69,61,2024-11-26 07:11:11,7.5,3,14
70,1139,2025-04-29 16:20:53,3.5,1,17
71,67,2024-12-28 09:00:54,9.5,4,23
72,698,2024-12-17 23:09:36,10.0,5,36
73,219,2025-02-04 06:36:33,8.0,4,42
74,1058,2025-09-03 03:23:14,11.5,5,12
75,1618,2025-07-18 08:54:57,10.0,5,20
76,1223,2025-04-27 20:25:56,4.75,2,34
77,266,2025-09-07 01:10:14,12.5,6,9
78,471,2025-09-30 16:15:05,10.0,5,40
79,703,2025-05-16 12:06:01,3.5,1,43
80,1561,2025-04-18 05:55:06,4.5,2,38
81,1619,2025-04-04 21:49:15,12.25,6,31
82,117,2025-05-18 05:23:47,13.75,6,29
83,1990,2025-03-11 20:34:13,13.0,6,16
84,555,2025-05-11 23:49:34,10.5,5,40
85,1557,2025-02-05 16:49:18,4.0,2,31
86,1852,2025-01-08 23:11:18,7.5,3,42
87,1954,2025-06-20 20:30:53,9.25,4,32
88,467,2025-04-17 20:44:08,14.0,7,13
89,702,2025-09-07 05:03:07,7.75,3,46
90,152,2025-05-17 08:33:42,6.0,3,4
91,1140,2025-04-18 18:12:19,3.5,1,8
92,1473,2024-12-11 01:31:48,7.5,3,46
93,284,2025-02-03 02:43:09,12.5,6,2
94,167,2025-04-13 10:01:48,9.5,4,33
95,1583,2025-06-14 04:24:36,10.75,5,5
96,1519,2025-08-18 11:52:50,15.0,7,41
